UrbanAgg,Country,Region,OID,Pop1970,Pop1980,Pop1990,Pop2000,Pop2010,PopR7080,PopR8090,PopR9000,PopR0010,Area1970,Area1980,Area1990,Area2000,Area2010,ArR7080,ArR8090,ArR9000,ArR0010,PD1970,PD1980,PD1990,PD2000,PD2010,Authors,Journal,Year
Dar-el-Beida (Casablanca),Morocco,Africa,25,1505,2109,2682,3134,3405,3.43178221,2.43260543,1.569665423,0.832796574,60.075548,78.7898,103.112038,134.267842, ,2.748910542,2.726841978,2.675366989, ,25051.78979,26767.42421,26010.54205,23341.40441, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Datong,China,China,97,432,565,917,1049,1351,2.720345174,4.961997922,1.353935163,2.562355397,105.58589,152.473024,218.14,410.08,424.766812,3.742978567,3.646401759,6.51562696,0.352500608,4091.455781,3705.573518,4203.72238,2558.037456,3180.568636,"Sun, Z, Ma, R, & Y Wang",Environmental Geology,2009
Dehradun in Uttarakhand,India,India,396,200,286,363,515,700,3.66442995,2.401159864,3.580872289,3.109290384,22.51583377,34.35753663,52.42712018,80,120,4.316593952,4.316593952,4.316593952,4.137974399,8861.008746,8322.366155,6914.512923,6442.0375,5833.241667,"Dutta, D, Rahman, A, & A Kundu",Remote Sensing Applications: Society and Environment,2015
Dehradun in Uttarakhand,India,India,398,200,286,363,515,700,3.641479443,2.412757349,3.559527534,3.116717825,2.726111144,8.561841429,26.89,74.20291458,99.37418748,12.12497577,12.12497577,10.68353374,2.963966035,73364.58033,33404.02907,13499.44217,6940.428188,7044.082752,"Munsi, M, Areendran, G, & PK Joshi",Regional Environmental Change,2012
Dehradun in Uttarakhand,India,India,397,200,286,363,515,700,3.641479443,2.412757349,3.559527534,3.116717825,5.483055445,8.759171007,13.9927596,22.35340778,35.26314976,4.795838465,4.795838465,4.795838465,4.664098254,36476.01269,32651.49176,25941.98788,23038.99276,19850.75085,"Sharma, K & S Jalan",Transactions of the Institute of Indian Geographers,2013
Delhi,India,India,400,3531,5558,9726,15732,21935,4.641048468,5.755161374,4.926447034,3.379724413,406.97445,681.257065,1140.39392,1875.528363,3053.560927,5.286911792,5.286911786,5.101006314,4.994922025,8676.220338,8158.447502,8528.631931,8388.036305,7183.416517,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Delhi,India,India,402,3531,5558,9726,15732,21935,4.641048468,5.755161374,4.926447034,3.379724413,292.9358261,388.2655405,514.6182764,682.0898143,897.801343,2.857422187,2.857422187,2.857422187,2.785977085,12053.83461,14314.94537,18899.44537,23064.41127,24431.90821,"Mallick, J, Rahman, A, & CK Singh",Advances in Space Research,2013
Delhi,India,India,401,3531,5558,9726,15732,21935,4.641048468,5.755161374,4.926447034,3.379724413, ,284.117513,422.688993,603.82262,733.263118, ,4.052445914,3.630798366,1.961225397, ,19562.32807,23009.82557,26054.00904,29914.22787,"Ramachandra, TV, Bharath, AH, & MV Sowmyashree",Journal of Environmental Management,2015
Delhi,India,India,399,3531,5558,9726,15732,21935,4.641048468,5.755161374,4.926447034,3.379724413,553.676285,561.7359,569.912835,578.206386,638.236177,0.144620653,0.14462065,0.144578875,0.992669843,6377.372656,9894.329346,17065.76761,27208.27784,34368.15522,"Sharma, R, & PK Joshi",Journal of the Indian Society of Remote Sensing,2013
Dhanbad,India,India,404,410,658,805,1046,1186,4.844150142,2.036839597,2.653457233,1.264051791,127.417528,161.568535,204.872845,258.784039,326.162258,2.403019162,2.403019147,2.363542907,2.340991884,3217.767653,4072.575146,3929.266468,4041.980348,3636.226973,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
